general,item_item,popularity,recommended,test,user,user_user,associations,content
"[230, 3171]","[114, 1971]","[173, 172, 131]","[114, 1025, 173, 230, 172, 3171, 106, 75, 1971, 131]",[106],31becb61-9ff4-5141-84a5-b73849875962,,,"[1025, 106, 75]"
"[3481, 3486, 3483, 3484]",,,"[3481, 3485, 3486, 3483, 94, 3824, 3482, 3484, 75, 3514]",[172],79e0db41-47d2-5d02-98ce-518ba28ebcba,"[3485, 94, 3482, 75, 3514]",,[3824]
,,[173],"[98, 97, 75, 91, 115, 2969, 114, 167, 151, 173]",[75],6af96683-f50d-5497-872b-02d9bb61ac70,"[97, 75, 91, 115, 167, 151]",,"[98, 2969, 114]"
,,,"[153, 175, 847, 172, 2870, 151, 1025, 94, 91, 115]",[94],69582e54-48e6-5620-9da1-3cf98f84d7d0,"[153, 175, 172, 151, 1025, 91]","[847, 94, 115]",[2870]
"[82, 671, 175]",,[115],"[97, 159, 106, 439, 82, 87, 847, 671, 115, 175]",[847],99c13a0c-4126-5578-8944-2518e76ed017,,,"[97, 159, 106, 439, 87, 847]"
,,,"[97, 94, 151, 172, 106, 87, 75, 115, 167, 173]",[3275],c5c92766-3a04-5de0-a14c-c346b78fe4b7,"[94, 167, 173]",,"[97, 151, 172, 106, 87, 75, 115]"
[439],,"[151, 97, 94, 131, 2992, 98]","[151, 75, 97, 94, 91, 131, 439, 2992, 85, 98]",[75],900e510b-07a6-5f4b-8bac-597f1248103a,,,"[75, 91, 85]"
[2978],"[106, 3836, 217]","[97, 151]","[97, 151, 106, 3836, 75, 172, 87, 2978, 91, 217]",[3481],04db10be-10ce-5739-83cc-e128b89a2bf8,,,"[75, 172, 87, 91]"
,[1971],,"[97, 115, 106, 1025, 172, 114, 173, 153, 1971, 734]",[114],d9be7700-ab09-5264-891f-f4e983b3ef4f,"[114, 173, 734]",,"[97, 115, 106, 1025, 172, 153]"
"[439, 230]",,,"[114, 91, 439, 97, 75, 230, 115, 173, 94, 106]",[115],3956566c-7dad-5587-a0db-386f4bdc3d4d,"[114, 75, 115, 173, 94]",,"[91, 97, 106]"
,"[114, 1025]",[106],"[114, 2969, 97, 98, 2813, 847, 427, 173, 1025, 106]",[91],6e863d6d-3d99-5c39-8ba4-fef233ed2d89,"[97, 98, 173]",,"[2969, 2813, 847, 427]"
[87],,[94],"[90, 723, 107, 84, 171, 151, 150, 94, 82, 87]",[172],c59bc211-eaf7-591c-b19b-bb17567296ec,"[723, 107, 151]",,"[90, 84, 171, 150, 82]"
"[217, 84]",,[94],"[97, 151, 115, 94, 91, 1811, 278, 106, 217, 84]",[115],65ec800e-75d7-5d0c-a10c-ce3a37e242b9,,,"[97, 151, 115, 91, 1811, 278, 106]"
,"[112, 91, 3482]","[2813, 151]","[114, 112, 2813, 1435, 91, 131, 167, 151, 3482, 97]",[112],2467296e-cd50-5b76-877b-772b5a9d2250,"[131, 97]",,"[114, 1435, 167]"
"[112, 2393]",[1971],[2992],"[75, 112, 1811, 115, 2992, 85, 1971, 217, 106, 2393]",[2315],c80d86e6-30d4-5e75-89e6-f57f58c48408,,,"[75, 1811, 115, 85, 217, 106]"
,,"[94, 2992]","[97, 151, 94, 115, 106, 1811, 278, 91, 1025, 2992]",[151],746af201-08c7-56de-b737-f48fc2054398,,,"[97, 151, 115, 106, 1811, 278, 91, 1025]"
,"[107, 1811]","[151, 131]","[107, 84, 150, 171, 151, 217, 1811, 1310, 131, 2315]",[3275],86126fe6-ebbb-55e3-8a6f-37c3fe1809a2,,,"[84, 150, 171, 217, 1310, 2315]"
,,,"[3485, 3481, 3484, 3486, 3482, 3483, 94, 97, 167, 173]",[94],ad4b6b11-8f86-51d3-bf8c-67ff5564d82e,"[94, 97]",,"[3485, 3481, 3484, 3486, 3482, 3483, 167, 173]"
[3481],"[3483, 3484]",,"[3483, 3484, 151, 91, 890, 3470, 3481, 1971, 3514, 115]",[3514],2a9ac046-eccf-57f3-899e-812894d70ca2,"[3470, 1971]",,"[151, 91, 890, 3514, 115]"
"[2978, 439]","[106, 3836]",[97],"[92, 97, 106, 3836, 91, 2978, 439, 85, 1025, 3171]",[1025],2cef8274-78b4-5edf-b421-47ad8cadd6f0,,,"[92, 91, 85, 1025, 3171]"
,,[173],"[3484, 3485, 3514, 3482, 172, 3486, 890, 151, 173, 91]",[734],e5b34881-127a-5f81-887a-c71ffaee9684,"[172, 151, 91]",,"[3484, 3485, 3514, 3482, 3486, 890]"
[2774],"[91, 75, 153, 1025]","[97, 151, 131]","[92, 91, 97, 75, 2774, 153, 151, 115, 1025, 131]",[1025],ac35ead0-6e60-504d-85a6-3539dc46331d,,,"[92, 115]"
[1435],,[94],"[151, 97, 94, 115, 91, 1435, 278, 106, 1811, 1025]",[1025],ae7322ec-387f-5597-b070-bdffb7d87fb3,,,"[151, 97, 115, 91, 278, 106, 1811, 1025]"
"[230, 851, 278]","[92, 1025]","[171, 97, 151, 91]","[92, 1025, 171, 106, 97, 151, 230, 851, 278, 91]",[3514],bf2d81dc-d224-5233-aff5-258e1b887a54,[106],,
,[1971],,"[97, 115, 75, 106, 172, 1025, 151, 1971, 153, 94]",[97],e755a897-89c4-5d41-9345-5b17d0a3f6a1,[94],,"[97, 115, 75, 106, 172, 1025, 151, 153]"
"[828, 1310]","[1306, 171, 87]","[97, 734]","[106, 97, 1306, 217, 171, 87, 2315, 828, 1310, 734]",[94],798549ef-bae8-54fe-b0b0-fc5330fb4f0d,,,"[106, 217, 2315]"
,"[106, 153]","[151, 97, 94, 2992]","[151, 97, 75, 94, 106, 91, 87, 2992, 1025, 153]",[2992],487f79c8-ce74-56fe-81c0-0c2dc01827e5,,,"[75, 91, 87, 1025]"
"[217, 82, 2978]","[95, 153, 84]","[106, 2813]","[97, 91, 217, 82, 95, 106, 153, 2978, 84, 2813]",[734],15711599-2435-5939-91e3-47799a7ebf76,,,"[97, 91]"
[3824],[3836],"[151, 2992]","[3485, 3483, 3484, 3482, 3470, 3836, 3824, 3514, 151, 2992]",[1310],b6f11525-3d3f-5c82-be97-1daff3c819d2,,,"[3485, 3483, 3484, 3482, 3470, 3514]"
"[3485, 828]","[1025, 1971, 114]","[97, 115]","[94, 97, 75, 1025, 1971, 3485, 115, 173, 114, 828]",[94],c8d8d2d3-1eef-5f22-ba65-a04e08175de6,[75],[173],[94]
[217],[150],[94],"[97, 115, 75, 106, 94, 87, 171, 217, 150, 3611]",[106],c541b1ba-c9e6-5ed1-b4ad-0856b2671c5b,,,"[97, 115, 75, 106, 87, 171, 3611]"
,[91],"[2813, 106]","[94, 98, 173, 91, 2813, 75, 115, 97, 172, 106]",[94],ba9c3235-6789-5e6c-8f00-d92c89813e09,"[75, 115, 97, 172]",[173],"[94, 98]"
"[3824, 3836]",,,"[1402, 94, 115, 3824, 172, 1400, 97, 1847, 175, 3836]",[94],615ad241-72f9-5b2e-837f-7e2beeba6e0f,"[94, 115, 172, 97, 175]","[1402, 1400, 1847]",
[82],[172],"[115, 94]","[151, 97, 217, 115, 75, 172, 171, 90, 94, 82]",[151],7f6651ba-b023-5178-9802-9ecb441a6617,,,"[151, 97, 217, 75, 171, 90]"
"[217, 1310]",[150],,"[97, 115, 75, 106, 87, 217, 171, 150, 91, 1310]",[115],44a03cf0-fa31-511c-9ed7-391593147c0d,,,"[97, 115, 75, 106, 87, 171, 91]"
[230],"[114, 1971]","[94, 847]","[91, 114, 97, 115, 230, 439, 1971, 94, 151, 847]",[2969],65536e61-6698-5323-9ec8-e6a7c868c274,,,"[91, 97, 115, 439, 151]"
,[172],"[94, 115, 2992]","[97, 94, 75, 151, 115, 217, 91, 172, 2992, 171]",[172],849a74b3-b474-5581-8e75-679939aa8034,,,"[97, 75, 151, 217, 91, 171]"
[1016],"[84, 388]",[92],"[145, 131, 84, 100, 388, 97, 1016, 172, 150, 92]",[145],7370e00f-9f14-550d-bb05-86d2acd3ff34,"[97, 172]",,"[145, 131, 100, 150]"
,,"[94, 2992]","[97, 94, 151, 91, 172, 1811, 278, 2992, 92, 1025]",[3275],b3ea30ab-162f-554b-83b9-5e543f02526c,,,"[97, 151, 91, 172, 1811, 278, 92, 1025]"
,"[1971, 114]","[94, 2813]","[97, 172, 151, 1971, 94, 106, 2813, 92, 1025, 114]",[97],0534afe2-13bc-5e53-badb-d99c8bf15d46,,,"[97, 172, 151, 106, 92, 1025]"
,,[97],"[3470, 3483, 3486, 3484, 94, 3824, 3485, 847, 75, 97]",[3471],3ecb1c34-3a59-5b5a-8fb9-93a292028e4d,"[94, 847, 75]",,"[3470, 3483, 3486, 3484, 3824, 3485]"
[217],[1971],,"[151, 75, 115, 91, 106, 87, 1811, 217, 1971, 172]",[1025],0b98ab57-b57d-5497-889b-95e211419d34,,,"[151, 75, 115, 91, 106, 87, 1811, 172]"
[3171],"[115, 98]","[151, 106, 1025, 131]","[97, 115, 151, 106, 153, 1025, 98, 173, 3171, 131]",[75],e09d8c2f-8e95-523c-8086-28b98d7f1f36,[97],[173],[153]
[439],[114],"[131, 106]","[114, 131, 97, 173, 94, 106, 98, 2813, 439, 90]",[3171],86c9b909-6463-5d9b-8e87-bca808e552e8,"[97, 173, 94, 98]",,"[2813, 90]"
[439],"[114, 91, 230]",[97],"[92, 114, 91, 230, 439, 3171, 97, 75, 115, 106]",[115],8636c350-9b21-5ef0-9312-3daf74193359,,,"[92, 3171, 75, 115, 106]"
[2315],"[75, 115]","[131, 2992, 172]","[167, 131, 192, 98, 2992, 173, 2315, 75, 115, 172]",[173],c0b5cb4a-ea4b-5371-abd5-502a82e9034e,,[173],"[167, 192, 98]"
,"[75, 115]","[131, 2992, 172, 151, 106]","[167, 131, 98, 2992, 75, 173, 115, 172, 151, 106]",[98],67ef05ad-8cbb-546e-932d-ed7c94e9dfa9,,[173],"[167, 98]"
[1435],[1655],"[94, 131]","[94, 151, 115, 1435, 172, 1655, 91, 131, 278, 92]",[172],aa2a8a7b-01ea-5b5e-af3e-83dacd5d26cd,,,"[151, 115, 172, 91, 278, 92]"
"[217, 84]",,,"[151, 75, 106, 115, 91, 217, 172, 1811, 87, 84]",[3275],eb320063-0ecd-5d29-966f-6adec3953c6a,,,"[151, 75, 106, 115, 91, 172, 1811, 87]"
[1310],"[1025, 230]",[92],"[1025, 98, 175, 131, 167, 173, 159, 1310, 92, 230]",[75],e1d6571d-a8d7-5bc9-9c34-323522b82aea,[131],"[173, 159]","[98, 175, 167]"
,[3514],[151],"[3485, 3484, 3486, 3481, 3483, 3514, 173, 94, 151, 75]",[94],0f82cc61-dbe4-52e8-bf2c-299d642dd0ac,[75],[173],"[3485, 3484, 3486, 3481, 3483, 94]"
[1025],"[91, 75]","[131, 2992, 3275, 172]","[167, 131, 98, 2992, 173, 3275, 91, 75, 172, 1025]",[75],ca258317-ab12-5632-a42a-e9dd03fc1035,,[173],"[167, 98]"
,"[723, 107]",,"[87, 1306, 97, 106, 171, 723, 151, 115, 107, 734]",[114],9b395f6f-2466-58a9-a258-9a556b8fc20b,"[115, 734]",,"[87, 1306, 97, 106, 171, 151]"
[828],[91],"[131, 2813]","[94, 98, 173, 91, 115, 75, 131, 2813, 828, 172]",[2992],6881ea8b-243e-5ff3-8cbc-80a143afee1c,"[115, 75, 172]",[173],"[94, 98]"
,,,"[3484, 3485, 3481, 3483, 3470, 3514, 3482, 3505, 3824, 151]",[847],e9f614c5-54c3-50fc-9dcd-b18bdd432884,"[3484, 3514, 151]",,"[3485, 3481, 3483, 3470, 3482, 3505, 3824]"
"[2978, 2020, 3521, 1435]","[106, 3471]",,"[97, 2774, 75, 106, 115, 2978, 3471, 2020, 3521, 1435]",[3171],3fc35341-75c3-51f3-97e4-4d9c8263e9e9,,,"[97, 2774, 75, 115]"
"[3470, 3486, 164, 3484]","[3482, 3483, 3485]",[175],"[173, 3470, 3486, 3482, 3483, 3485, 164, 205, 175, 3484]",[97],e627f29f-e094-5fb5-b401-31ac69c5644b,,[173],[205]
"[1435, 186]","[150, 1655, 167, 1811]",[151],"[217, 150, 151, 1655, 1435, 140, 186, 167, 1811, 131]",[167],08e58545-a91c-5cca-b6f6-7839d129e59d,[131],,"[217, 140]"
[217],[523],[2992],"[97, 151, 1811, 115, 278, 2992, 91, 523, 217, 1025]",[106],73689c52-ce85-5267-ae42-6a4a06bcb1f2,,,"[97, 151, 1811, 115, 278, 91, 1025]"
,"[106, 3836]","[97, 94, 2992, 131]","[97, 94, 75, 106, 91, 172, 2992, 1025, 3836, 131]",[734],1a9ac3d6-ae5c-5522-9bbb-d11f677c9081,,,"[75, 91, 172, 1025]"
,"[3484, 3470, 3486]",,"[91, 1025, 3514, 151, 890, 3484, 171, 3470, 87, 3486]",[2315],7b84e6f7-7e3d-56b1-b9e0-81186ef1bf0f,,,"[91, 1025, 3514, 151, 890, 171, 87]"
,[106],[131],"[92, 94, 97, 115, 106, 2774, 151, 75, 131, 91]",[75],35281fdb-9e38-59ab-b981-27afc7c95c99,"[94, 151]",,"[92, 97, 115, 2774, 75, 91]"
[217],,,"[151, 106, 75, 115, 91, 172, 87, 217, 1811, 171]",[114],9bba1b24-4127-5c1e-863b-fc565d2c3954,,,"[151, 106, 75, 115, 91, 172, 87, 1811, 171]"
,"[439, 114]",,"[172, 97, 734, 115, 1025, 439, 2992, 114, 91, 151]",[1025],bca4e304-2f15-59ab-b7db-1687a898019c,"[97, 1025, 2992, 91, 151]",,"[172, 734, 115]"
"[175, 82]","[114, 91]","[171, 75, 847, 151]","[159, 175, 82, 114, 171, 75, 173, 847, 91, 151]",[3168],f462f6f3-4eb6-57d6-a2fb-a748f81c06a3,,"[159, 173]",
,[172],[115],"[97, 172, 115, 217, 75, 151, 90, 91, 87, 153]",[3171],b985a49f-d620-5d87-8c4b-ade34f52d15b,,,"[97, 217, 75, 151, 90, 91, 87, 153]"
[1310],"[114, 107]",,"[114, 75, 151, 171, 153, 107, 1310, 131, 175, 1025]",[94],a1c09b0e-f58e-5472-be70-3d2668c4d2bf,[131],,"[75, 151, 171, 153, 175, 1025]"
"[1435, 82]",[91],"[151, 172]","[151, 1435, 167, 2315, 98, 172, 92, 106, 91, 82]",[98],c8fa228c-f5d8-5a2f-9df8-1c8d9ac62240,"[92, 106]",,"[167, 2315, 98]"
,"[1310, 1306, 107]",,"[91, 1310, 75, 97, 153, 171, 1025, 115, 1306, 107]",[3168],c99badf8-3331-5909-96e7-f3e19ff9a86f,,,"[91, 75, 97, 153, 171, 1025, 115]"
"[3505, 3611]","[90, 157]",[175],"[171, 106, 175, 1306, 90, 3505, 3611, 157, 278, 114]",[3171],12668246-6ff0-57de-a84b-cabba200ba6d,[114],,"[171, 106, 1306, 278]"
"[439, 1025, 175]","[91, 671]","[75, 151, 115]","[75, 91, 2813, 114, 439, 151, 1025, 115, 175, 671]",[151],dd535fc3-b6af-58c3-b5a0-b20f464670a7,,,"[2813, 114]"
"[217, 84, 1310]",,,"[97, 75, 115, 106, 87, 217, 171, 84, 91, 1310]",[75],e38f70bb-3b2c-5e11-bbf5-a76a2d54e620,,,"[97, 75, 115, 106, 87, 171, 91]"
,[87],[131],"[1306, 106, 151, 87, 131, 1310, 85, 84, 171, 97]",[94],92484c87-a725-5152-86bc-f945e696ff52,"[151, 85, 171, 97]",,"[1306, 106, 1310, 84]"
,"[106, 3471]",[131],"[92, 94, 106, 91, 2774, 75, 97, 3171, 131, 3471]",[3275],bec0167e-c55f-5e8e-aedc-af3029f1c6c1,[94],,"[92, 91, 2774, 75, 97, 3171]"
,"[153, 474, 87]",[151],"[94, 167, 91, 114, 97, 115, 153, 151, 474, 87]",[167],990237af-0136-58f3-ab42-1b5f8747651e,"[91, 114, 97, 115]","[94, 167]",
,,,"[3611, 3485, 75, 3524, 3484, 3486, 3470, 890, 3171, 3482]",[94],e7e52b7b-5d30-508a-855a-e8b005bc88d8,"[3485, 75, 3484, 3486, 3470, 3482]",,"[3611, 3524, 890, 3171]"
"[3171, 439, 82]",[114],[106],"[205, 98, 167, 164, 3171, 439, 114, 173, 106, 82]",[3168],c8198109-1b58-5c8a-9cd8-750d3acc252b,,[173],"[205, 98, 167, 164]"
,[3510],[2992],"[3486, 3470, 3485, 3481, 3524, 3611, 3483, 3510, 75, 2992]",[3481],be374897-ba20-5c53-8f43-9fab7922942d,"[3485, 75]",,"[3486, 3470, 3481, 3524, 3611, 3483]"
,"[75, 97]","[131, 2992, 151]","[167, 98, 131, 173, 75, 2992, 2438, 97, 151, 140]",[98],f4d6e02b-5d66-54b6-8eae-30872f9d4c0a,,[173],"[167, 98, 2438, 140]"
,"[114, 1025]","[106, 131]","[114, 2969, 97, 2813, 98, 106, 1025, 847, 131, 173]",[91],de123905-eace-5767-b11d-0ee3cfc19d86,"[97, 98, 173]",,"[2969, 2813, 847]"
,,,"[106, 151, 159, 91, 171, 847, 97, 175, 82, 75]",[75],45d8e6d2-2e46-5703-89c3-0f0f1077ba03,"[151, 91, 97, 175, 75]",,"[106, 159, 171, 847, 82]"
"[1435, 95, 3827, 109]","[112, 278]",,"[1811, 217, 2315, 151, 1435, 112, 95, 278, 3827, 109]",[91],a296aed7-76ab-59ba-a868-653b94384623,,,"[1811, 217, 2315, 151]"
"[2978, 439]",[106],"[151, 97, 94, 131]","[151, 97, 106, 94, 75, 2978, 172, 439, 91, 131]",[847],77e4fc6e-8d42-5ea5-97e0-b4d777334cfa,,,"[75, 172, 91]"
"[87, 157]","[1811, 278, 91, 150, 1655]",,"[1811, 278, 87, 151, 91, 157, 82, 150, 1655, 97]",[151],0c6dc465-ea9a-528c-aab8-6a25a23dc746,"[151, 82, 97]",,
,"[153, 114]","[2992, 175]","[151, 97, 153, 115, 2992, 1025, 3481, 278, 114, 175]",[115],c9ab3d0a-8b06-519d-ba7d-42245e7f566c,[3481],,"[151, 97, 115, 1025, 278]"
[145],"[1306, 2315, 87, 107]","[106, 131]","[828, 173, 1306, 2315, 87, 140, 107, 106, 145, 131]",[107],4b0efe60-1ad0-52e1-9b53-34b76eeff978,[828],[173],[140]
,"[75, 115]","[131, 2992, 151, 172]","[167, 131, 98, 2992, 173, 75, 192, 115, 151, 172]",[115],c9cb5324-5b64-5ea4-8039-f5c79ada3784,,[173],"[167, 98, 192]"
,[217],[94],"[91, 106, 115, 87, 97, 171, 217, 3171, 94, 75]",[3168],60a3eced-7e4f-5c9a-bdf3-db218a133c0f,,[115],"[91, 106, 87, 97, 171, 3171, 75]"
"[175, 439]",,,"[151, 175, 75, 153, 106, 115, 114, 94, 439, 734]",[75],3c160c5c-2972-5e1f-933a-be7bbd756d52,"[115, 114, 94]",,"[151, 75, 153, 106, 734]"
,[106],[131],"[92, 2774, 106, 94, 75, 91, 97, 131, 3171, 151]",[97],fc3fd8f6-9a0f-5ec6-b384-db02a777adad,"[94, 151]",,"[92, 2774, 75, 91, 97, 3171]"
"[439, 523, 164]","[1435, 1811]","[97, 151]","[439, 97, 217, 151, 1435, 82, 106, 523, 164, 1811]",[3485],56d0e25c-7fb1-5a9d-bd33-9d7ad55ac6c8,,,"[217, 82, 106]"
[439],"[106, 3836]","[97, 94, 2992]","[97, 94, 75, 2992, 106, 91, 1025, 172, 439, 3836]",[2992],1504df86-cbfb-540c-b586-be807be81ecc,,,"[75, 91, 1025, 172]"
[2315],[150],[94],"[115, 75, 94, 106, 439, 2315, 150, 87, 172, 171]",[106],4586cf67-6842-5721-8b5d-5274f530d9bb,,,"[115, 75, 106, 439, 87, 172, 171]"
[474],"[114, 439, 153]",,"[114, 91, 75, 97, 92, 439, 474, 153, 1025, 151]",[94],90303e6e-06b6-5143-ab14-1d8ad10e1498,,,"[91, 75, 97, 92, 1025, 151]"
"[3470, 3485]","[3483, 153, 83]",,"[75, 94, 3483, 153, 87, 3470, 3485, 97, 115, 83]",[98],d40378a4-388d-59b8-8df3-4479e613fefa,[97],[94],"[75, 87, 115]"
"[3824, 3481]",,,"[1402, 106, 94, 3824, 172, 175, 1400, 3481, 97, 115]",[98],aafe06b6-fb4f-5482-a260-722e568f33e2,"[106, 94, 172, 175, 97, 115]","[1402, 1400]",
,"[523, 1025]",[2992],"[173, 3485, 94, 3486, 2992, 3470, 3484, 3481, 523, 1025]",[3481],5822a0a7-2207-5ecb-8864-3e4d585f8a72,,[173],"[3485, 94, 3486, 3470, 3484, 3481]"
[1435],,"[847, 2992, 175, 2813]","[2774, 91, 1025, 3481, 97, 847, 2992, 1435, 175, 2813]",[723],6c61422b-3119-5ab5-908e-6898c54a13a1,"[3481, 97]",,"[2774, 91, 1025]"
"[1435, 84]",[1655],[94],"[151, 97, 1435, 94, 1655, 115, 84, 1811, 278, 91]",[2969],4d3b0499-ad4b-53e3-a95b-1ea4003cc65a,,,"[151, 97, 115, 1811, 278, 91]"
[439],"[114, 205]","[131, 106]","[114, 131, 97, 98, 94, 2813, 205, 106, 439, 164]",[91],3556e08f-68cc-5405-837b-d65acde35138,"[97, 98, 94]",,"[2813, 164]"
"[3824, 3827, 3833, 3834, 3823, 3832]",,,"[3836, 3824, 3827, 3833, 3607, 3834, 3823, 3832, 94, 3484]",[3836 1847],ba681589-496f-5f10-8d41-8b070b974df5,[94],,"[3836, 3607, 3484]"
,[106],[131],"[92, 106, 115, 75, 97, 94, 151, 3171, 91, 131]",[75],295445a3-c54d-5d94-a938-94afccc60012,"[94, 151]",,"[92, 115, 75, 97, 3171, 91]"
"[230, 1435]","[109, 1811, 153]",[175],"[109, 230, 1435, 1811, 1025, 91, 175, 115, 82, 153]",[847 671],1bc76e0c-4446-59ff-a170-4a0d284e0c39,[82],[115],"[1025, 91]"
,"[75, 115]","[131, 2992, 172, 106]","[167, 131, 98, 2992, 173, 75, 115, 172, 192, 106]",[734],4ac4469f-0073-52d6-be4e-58472ea03866,,[173],"[167, 98, 192]"
[84],"[91, 1811, 278]","[151, 172]","[97, 151, 98, 167, 92, 172, 91, 1811, 278, 84]",[2062],c5ad3189-04d6-5394-b637-f7201d18efba,"[97, 92]",,"[98, 167]"
"[217, 2315, 82]","[106, 3836, 153]",[171],"[87, 106, 439, 217, 3836, 171, 2315, 75, 153, 82]",[107],3549d0b2-be1b-5f13-af79-fc7c57763132,,,"[87, 439, 75]"
,,"[94, 2992]","[151, 75, 94, 115, 91, 1811, 2992, 1025, 439, 171]",[2969],d17db4de-9a22-5094-89d3-c695ee7bc96e,,,"[151, 75, 115, 91, 1811, 1025, 439, 171]"
[439],,"[92, 106, 131, 172, 171]","[167, 92, 106, 131, 172, 2315, 171, 439, 2438, 98]",[172],44ec051a-cb70-5ba0-afa1-6e290ff8329f,,,"[167, 2315, 2438, 98]"
"[439, 2978]","[3836, 106, 217]","[151, 97]","[151, 97, 75, 3836, 106, 439, 172, 2978, 85, 217]",[98],381f92ac-82e2-5db2-b0be-586eb59b091c,,,"[75, 172, 85]"
[217],,[2992],"[151, 75, 115, 1811, 217, 87, 106, 91, 171, 2992]",[1025],5f3c917f-ff38-59d7-86c1-65bb8e6e9830,,,"[151, 75, 115, 1811, 87, 106, 91, 171]"
"[3505, 3171]",,[171],"[171, 94, 1400, 91, 1402, 151, 97, 3505, 3171, 106]",[106],b1f441d0-3ff3-51b6-9d5f-9304ba2d6a8d,"[94, 91, 151, 97, 106]","[1400, 1402]",
,"[890, 723, 172]","[115, 734, 92]","[87, 115, 153, 890, 171, 723, 159, 172, 734, 92]",[75],c3d45249-51c7-5dec-b71d-3365888f5118,,,"[87, 153, 171, 159]"
[828],[91],"[2813, 106]","[94, 98, 173, 91, 2813, 97, 75, 828, 151, 106]",[91],af089a1e-4da9-5ce7-834e-66db3446fcf1,"[97, 75, 151]",[173],"[94, 98]"
"[3171, 230]","[114, 1971]","[172, 115]","[97, 114, 1971, 1025, 172, 106, 3171, 75, 115, 230]",[3168],c30f2de7-b12a-5ce6-8095-94ebd1797490,,,"[97, 1025, 106, 75]"
"[1310, 723, 439]",,,"[151, 106, 1310, 94, 734, 75, 115, 723, 439, 1306]",[106],26f94fd5-7f06-5d3c-a7f7-01726bfbfe41,"[94, 115]",,"[151, 106, 734, 75, 1306]"
,"[1310, 439]","[171, 94, 734, 85]","[97, 172, 171, 94, 91, 1310, 439, 734, 85, 92]",[172],ad6543c9-55ab-51f0-88f6-a4619ec8fa73,,,"[97, 172, 91, 92]"
,[87],"[151, 115]","[75, 151, 115, 217, 167, 150, 94, 106, 107, 87]",[107],743a8d83-55e6-5135-bf70-4de8cf1ae5f8,"[75, 167, 94, 107]",,"[217, 150, 106]"
[1435],,"[115, 172]","[91, 98, 115, 172, 1025, 151, 92, 278, 1435, 97]",[114],9327ad0f-6438-5362-be43-9a4d71115e1e,,,"[91, 98, 1025, 151, 92, 278, 97]"
